stage,match_date,hometeam,awayteam,home_prob,draw_prob,away_prob,scrape_datetime,url,league_code
August,8/12,Philadelphia,Montreal,0.48,0.25,0.26,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/12,Houston,San Jose,0.53,0.26,0.21,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/12,LA Galaxy,NYCFC,0.48,0.25,0.26,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/16,Montreal,Chicago,0.48,0.25,0.27,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/19,Montreal,Real Salt Lake,0.54,0.24,0.22,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/19,Orlando City,Columbus,0.47,0.26,0.27,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/19,Chicago,Toronto FC,0.42,0.26,0.32,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/19,Sporting KC,FC Dallas,0.51,0.27,0.21,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/19,Colorado,D.C. United,0.49,0.28,0.23,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/19,Vancouver,Houston,0.49,0.26,0.25,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/19,San Jose,Philadelphia,0.46,0.28,0.26,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/20,NYCFC,New England,0.51,0.24,0.25,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/20,Portland,NY Red Bulls,0.49,0.26,0.25,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/20,Seattle,Minnesota,0.54,0.25,0.21,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/23,Columbus,LA Galaxy,0.46,0.26,0.28,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/23,D.C. United,Atlanta,0.45,0.26,0.29,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/23,Toronto FC,Philadelphia,0.54,0.24,0.21,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/23,FC Dallas,Houston,0.53,0.26,0.21,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/23,Real Salt Lake,San Jose,0.46,0.27,0.27,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/23,Vancouver,Seattle,0.46,0.27,0.27,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/23,Portland,Colorado,0.54,0.26,0.2,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/25,NY Red Bulls,NYCFC,0.48,0.25,0.27,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/26,D.C. United,New England,0.4,0.26,0.34,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/26,Philadelphia,Atlanta,0.49,0.26,0.26,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/26,Columbus,FC Dallas,0.44,0.27,0.3,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/26,Orlando City,Vancouver,0.47,0.26,0.27,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/26,Chicago,Minnesota,0.54,0.24,0.22,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/26,Houston,Sporting KC,0.43,0.28,0.29,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/26,Real Salt Lake,Colorado,0.46,0.28,0.26,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/27,Montreal,Toronto FC,0.39,0.26,0.35,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/27,LA Galaxy,San Jose,0.54,0.26,0.2,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/27,Seattle,Portland,0.51,0.26,0.24,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
September,9/2,Montreal,Chicago,0.48,0.25,0.27,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
September,9/2,New England,Orlando City,0.54,0.25,0.21,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
September,9/2,FC Dallas,NY Red Bulls,0.51,0.26,0.22,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
September,9/2,LA Galaxy,Colorado,0.54,0.27,0.2,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
September,9/6,NYCFC,Sporting KC,0.47,0.27,0.26,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
September,9/9,Chicago,NY Red Bulls,0.5,0.26,0.25,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
September,9/9,Toronto FC,San Jose,0.54,0.26,0.2,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
September,9/9,NYCFC,Portland,0.52,0.24,0.24,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
September,9/9,D.C. United,Orlando City,0.49,0.26,0.25,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
September,9/9,New England,Montreal,0.52,0.24,0.23,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
September,9/9,Minnesota,Philadelphia,0.43,0.26,0.31,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
September,9/9,Houston,Colorado,0.53,0.27,0.2,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
September,9/9,Vancouver,Real Salt Lake,0.54,0.25,0.21,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
